OID_,Enclosure,Greeness,Openness,Population,Facilities
472,0.169921,0.175283,0.025191,0.386916984,0
473,0.244251,0.137929,0.012945,0.292167791,0.016876296
474,0.224875,0.114363,0.03136,0.259313582,0.02530001
475,0.247284,0.123568,0.031249,0.341155764,0
476,0.416671,0.020569,0.001266,0.211498973,0.015605243
477,0.107067,0.289218,0.000107,0.199765327,0.05003455
478,0.200365,0.199968,0.003996,0.314168378,0
479,0.243018,0.082089,0.011795,0.408330889,0
480,0.26016,0.06383,0.015405,0.357582869,0.006300743
481,0.213707,0.139582,0.021036,0.255206806,0.043351125
482,0.216876,0.201621,0.000069,0.168671165,0
483,0.168772,0.250591,0.000402,0.211792314,0.039722677
484,0.207232,0.196548,0.003623,0.260486946,0.013904833
485,0.18296,0.150808,0.009039,0.333235553,0.043434043
486,0.142419,0.285978,0,0.200645351,0.039696864
487,0.178311,0.175289,0.010579,0.306541508,0.01198743
488,0.285268,0.112931,0.009878,0.343795835,0.049765212
489,0.220907,0.127764,0.009069,0.460252273,0.04228709
490,0.296016,0.08624,0.006332,0.412731006,0.020970931
491,0.283824,0.023861,0.001489,0.391023761,0.008396603
492,0.248081,0.003754,0.006384,0.325608683,0.020994629
493,0.302938,0.033693,0.017083,0.348195952,0.050310171
